""      ,"ZPID"       ,"address"                                                           ,"price"    ,"bed" ,"bath" ,"Sq.Feet" ,"city"                 ,"zip-code"
"128"   ,"35863787"   ,"89 Hollis Ter NW, Atlanta, GA 30311"                               ,"215000"   ,"3"   ,"3"    ,"1528"    ,"Atlanta"              ,"30311"
"129"   ,"2069891404" ,"870 Mayson Turner Rd NW UNIT 1414, Atlanta, GA 30314"              ,"165000"   ,"2"   ,"1"    ,"910"     ,"Atlanta"              ,"30314"
"130"   ,"35848346"   ,"976 Cascade Ave SW, Atlanta, GA 30311"                             ,"290000"   ,"3"   ,"2"    ,"1533"    ,"Atlanta"              ,"30311"
"131"   ,"2080284614" ,"32 Peachtree St NW APT 1507, Atlanta, GA 30303"                    ,"275000"   ,"2"   ,"2"    ,"0"       ,"Atlanta"              ,"30303"
"132"   ,"14457264"   ,"1556 Overland Ter, Atlanta, GA 30317"                              ,"799900"   ,"4"   ,"3"    ,"3625"    ,"Atlanta"              ,"30317"
"133"   ,"65461635"   ,"229 Ponce De Leon Ave NE APT 6, Atlanta, GA 30308"                 ,"259000"   ,"2"   ,"1"    ,"838"     ,"Atlanta"              ,"30308"
"134"   ,"69346191"   ,"1047 Fortress Ave SW, Atlanta, GA 30315"                           ,"275000"   ,"2"   ,"3"    ,"1050"    ,"Atlanta"              ,"30315"
"135"   ,"35931275"   ,"391 9th St NE, Atlanta, GA 30309"                                  ,"1249000"  ,"3"   ,"3"    ,"3141"    ,"Atlanta"              ,"30309"
"136"   ,"35857177"   ,"172 Dahlia Ave NW, Atlanta, GA 30314"                              ,"190000"   ,"3"   ,"2"    ,"891"     ,"Atlanta"              ,"30314"
"137"   ,"82612964"   ,"3136 Abbey Dr SW, Atlanta, GA 30331"                               ,"475000"   ,"5"   ,"3"    ,"4101"    ,"Atlanta"              ,"30331"
"138"   ,"69375671"   ,"1445 Monroe Dr NE APT F30, Atlanta, GA 30324"                      ,"290000"   ,"2"   ,"2"    ,"1060"    ,"Atlanta"              ,"30324"
"139"   ,"14557239"   ,"2327 Sherbrooke Dr, Atlanta, GA 30345"                             ,"510000"   ,"4"   ,"3"    ,"3520"    ,"Atlanta"              ,"30345"
"140"   ,"35885815"   ,"4367 Greenleaf Cir SW, Atlanta, GA 30331"                          ,"325000"   ,"4"   ,"2"    ,"1250"    ,"Atlanta"              ,"30331"
"141"   ,"35888478"   ,"20 Marietta St NW APT 3G, Atlanta, GA 30303"                       ,"210000"   ,"2"   ,"1"    ,"1130"    ,"Atlanta"              ,"30303"
"142"   ,"65451076"   ,"2725 Shoreland Dr SW, Atlanta, GA 30331"                           ,"249999"   ,"3"   ,"2"    ,"0"       ,"Atlanta"              ,"30331"
"143"   ,"69366476"   ,"6301 Selborn Dr SW, Atlanta, GA 30331"                             ,"410000"   ,"5"   ,"3"    ,"0"       ,"Atlanta"              ,"30331"
"144"   ,"35923873"   ,"2152 Main St NW, Atlanta, GA 30318"                                ,"397500"   ,"4"   ,"3"    ,"2472"    ,"Atlanta"              ,"30318"
"145"   ,"35878396"   ,"1674 Niskey Lake Rd SW, Atlanta, GA 30331"                         ,"398500"   ,"3"   ,"4"    ,"3480"    ,"Atlanta"              ,"30331"
"146"   ,"35883318"   ,"1577 Jonesboro Rd SE, Atlanta, GA 30315"                           ,"389000"   ,"3"   ,"3"    ,"2200"    ,"Atlanta"              ,"30315"
"147"   ,"65447122"   ,"4960 Highland Lake Dr, Atlanta, GA 30349"                          ,"560000"   ,"5"   ,"5"    ,"2958"    ,"Atlanta"              ,"30349"
"148"   ,"2061780471" ,"508 Broadview Pl NE, Atlanta, GA 30324"                            ,"575000"   ,"3"   ,"3"    ,"2532"    ,"Atlanta"              ,"30324"
"149"   ,"35873400"   ,"3565 Glenview Cir SW, Atlanta, GA 30331"                           ,"259900"   ,"2"   ,"2"    ,"1125"    ,"Atlanta"              ,"30331"
"150"   ,"35908425"   ,"2081 Dellwood Dr NW, Atlanta, GA 30309"                            ,"849000"   ,"3"   ,"4"    ,"2292"    ,"Atlanta"              ,"30309"
"151"   ,"14446813"   ,"910 Stallings Ave, Atlanta, GA 30316"                              ,"762000"   ,"5"   ,"4"    ,"2896"    ,"Atlanta"              ,"30316"
"152"   ,"14432141"   ,"3359 Almand Rd, Atlanta, GA 30316"                                 ,"250000"   ,"3"   ,"2"    ,"1525"    ,"Atlanta"              ,"30316"
"153"   ,"171479146"  ,"1710 Adams Dr SW, Atlanta, GA 30311"                               ,"1999999"  ,"5"   ,"8"    ,"9987"    ,"Atlanta"              ,"30311"
